السؤال,الجواب,الكلمة المفتاحية,التصنيف
8  ماذا يحدث إذا وصل راتب الموظف إلى أعلى مربوط الفئة؟,لا يتم منحه الزيادة السنوية إلا إذا توفرت شروط الترقية ,الراتب، الترقية,قوانين العمل
9  ما هي شروط الترفيع للموظف الذي لم تتوافر فيه شروط الترفيع؟,يتم رفعه إلى درجة أعلى بعد زوال السبب المانع للترفيع ,الترفيع، الدرجة الأعلى,قوانين العمل
أين تقع الجامعة الهاشمية؟,تقع الجامعة الهاشمية في مدينة الزرقاء، على بعد حوالي  0 كم شمال شرق عمان ,موقع الجامعة,تعليم
أين تقع جامعة الأميرة سمية للتكنولوجيا؟,تقع جامعة الأميرة سمية للتكنولوجيا في عمان ,جامعة الأميرة سمية، عمان,التعليم
أين تقع جامعة اليرموك؟,تقع جامعة اليرموك في إربد ,جامعة اليرموك، إربد,التعليم
أين تقع مدينة الزرقاء بالنسبة للعاصمة عمان؟,تقع مدينة الزرقاء على بعد حوالي  0 كم شمال شرق عمان ,مدينة الزرقاء,تعليم
أين يتم إيداع أموال المجلس؟,تودع أموال المجلس في البنك العامل في الحرم الجامعي ,إيداع الأموال,تعليم
أين يتم تخزين اللوازم الزراعية في الجامعة؟,في مستودعات شعبة الزراعة,مستودعات الزراعة,معلومات عامة
إذا أُوقعت عقوبة تأديبية على طالب وأُلغي تسجيله في مواد معينة، هل يُعتبر ذلك انقطاعًا عن الدراسة؟,لا يعد ذلك تأجيلاً أو انقطاعًا عن الدراسة ,عقوبة تأديبية، إلغاء تسجيل,انقطاع عن الدراسة
إذا استخدمت الخزانة لأغراض غير مسموح بها، هل يتم فرض عقوبات؟,نعم، إذا استخدمت الخزانة لأغراض غير مسموح بها، تتخذ بحقك عقوبات تأديبية مثل الإنذار أو حرمانك من استخدام الخزانة ,استخدام غير مسموح، عقوبات,العقوبات
إذا اشتغلت بالجامعة 9 سنين، فيني أخد نسبة 50% من المكافأة؟,لا، لازم تكون خدمت الموظف في الجامعة  0 سنين على الأقل ليقدر يتقدم للحصول على النسبة ,مدة الخدمة، مكافأة نهاية الخدمة,توظيف
إذا الكفيل عنده أقل من 7 سنين خدمة، بيقدر يكفل؟,لا، لازم الكفيل يكون خدمته في الجامعة 7 سنين عالأقل ,الكفيل، مدة الخدمة,كفالة
إذا انسحبت من الجامعة، هل لازم أسلم الخزانة؟,إيوة، إذا انسحبت من الجامعة لازم تسلم الخزانة عشان يتم إرجاع التأمين إليك ,انسحاب من الجامعة، تسليم الخزانة,الإجراءات المالية
إذا انضبطت وأنا بستخدم الخزانة لشيء مش مسموح، شو ممكن يصير؟,إذا استخدمت الخزانة لشيء مش مسموح، بتتعرض لعقوبات تأديبية مثل الإنذار أو الحرمان من استخدام الخزنة لفصل دراسي أو أكثر، أو حتى الفصل من الجامعة ,استخدام غير مسموح، عقوبات,العقوبات
إذا انقطع الطالب عن الدراسة لأكثر من فصل دراسي، هل يُسمح له بالتسجيل؟,نعم، إذا قُبل عذره من مجلس العمداء، ولكن يتم فصله إذا لم يُقبل ,انقطاع، فصل دراسي، عذر,انقطاع عن الدراسة
إذا تخرجت أو تركت الجامعة، شو بيصير مع مفتاح الخزنة؟,لازم تسلم المفتاح خلال شهر من تاريخ تخرجك أو تركك للجامعة، وإذا تأخرت بيتم مصادرة التأمين ,تسليم المفتاح، مصادرة التأمين,شروط الاستخدام
إذا تركت الجامعة قبل ما أحصل على المكافأة، شو بيصير؟,لازم الموظف يرد المبلغ إذا تبين إنه فقد حقه في المكافأة لأي سبب كان ,رد المبلغ، فقدان الحق,مكافأة
إذا تم قبول الطالب في الجامعة وكان قد درس مواد في جامعة أخرى، هل تحتسب له هذه المواد؟,نعم، إذا كانت المواد قد دراست بنجاح وحصل فيها على علامة لا تقل عن ج أو ما يعادلها، يمكن احتسابها ولكن لا تدخل في المعدل التراكمي ,احتساب المواد,تعليم
إذا ضيعت المفتاح، شو لازم أعمل؟,إذا ضيعت المفتاح، لازم تدفع دينار واحد بدل نسخة مفتاح مفقود ,مفتاح مفقود، بدل مفتاح مفقود,تكاليف الاستخدام
إذا قرر الطالب ترك الجامعة قبل انتهاء الفصل الدراسي، هل يستطيع استرجاع المبالغ المدفوعة؟,لا، لا يمكن استرجاع المبالغ المدفوعة مثل بدل الاستخدام أو التأمين في حال ترك الطالب الجامعة قبل انتهاء الفصل الدراسي ,ترك الجامعة، استرجاع المبالغ,العقوبات
إذا كان الطالب منتقلاً من كلية مجتمع، هل يتم معادلة المواد التي درسها؟,نعم، يتم معادلة المواد التي درسها بنجاح في كلية المجتمع وفقاً للإجراءات المتبعة إذا كانت تنطبق شروط المعدل المطلوب ,معادلة المواد,تعليم
إذا كانت الخزانة تالفة عند تسلمي لها، شو بيصير؟,يجب على الطالب إعلام المسؤول عن الخزانة في حال كانت تالفة عند تسليمها، وفي حال تم إلحاق ضرر بها، يتحمل الطالب المسؤولية عن ذلك ,الخزانة تالفة، ضرر الخزانة,العقوبات
إذا كانت الخزانة تحتوي على مواد محظورة، شو العقوبة المترتبة؟,إذا تم ضبط مواد محظورة داخل الخزانة، سيتم اتخاذ إجراءات تأديبية مثل التنبيه أو الحرمان من الخزانة أو حتى الفصل من الجامعة ,مواد محظورة، عقوبات تأديبية,العقوبات
إذا كنت أشتغل بالجامعة مدة 8 سنين، هل بقدر أخد نسبة من المكافأة؟,لا، لازم تكون خدمت الموظف  0 سنين على الأقل عشان يتأهل للحصول على النسبة ,مدة الخدمة، مكافأة نهاية الخدمة,مكافأة
إذا لم أتمكن من دفع بدل التأمين، هل يمكنني تأجير الخزنة؟,لا، يجب دفع بدل التأمين قبل تأجير الخزنة، ولا يمكن تأجير الخزانة بدون دفع التأمين ,بدل التأمين، دفع,تكاليف الاستخدام
إذا لم أسلم الخزانة بالوقت المحدد، شو بيصير؟,إذا ما سلمت الخزانة في الوقت المحدد، بيتم ضبط محتوياتها وبيتم عمل محضر، وبتم إرسال المحضر لوحدة الشؤون المالية ,تسليم الخزانة، محضر ضبط,العقوبات
إذا ما قدرت أجيب كفيل بديل، شو بيصير؟,إذا ما جبت كفيل بديل، بيتم حجز 50% من قيمة القرض من مستحقات الكفيل اللي ترك العمل ,حجز القرض، كفيل بديل,كفالة
إلى أي فئة ينتمي رئيس الجامعة وفقاً للمادة (3)؟,ينتمي رئيس الجامعة إلى الفئة الخاصة ,تصنيف الفئات، رئيس الجامعة,تنظيمي، تصنيف
بماذا يتم الإيفاد للحصول على درجات علمية؟,يتم الإيفاد للحصول على درجة الماجستير أو درجة الدكتوراه بقرار من مجلس العمداء بناءً على تنسيب مجلس القسم المختص، ومجلس الكلية، وتوصية لجنة التعيين والترقية ,إيفاد للحصول على درجات علمية، الإجراءات,أكاديمية، إدارية
بناءً على أي قرار تم إصدار هذه التعليمات؟,قرار مجلس الجامعة رقم ( 0/ / 0 4),قرار مجلس الجامعة,معلومات عامة
شو إجراءات تسليم الخزانة إذا غادرت الجامعة بشكل نهائي؟,يجب على الطالب تسليم الخزانة قبل مغادرته للجامعة، وفي حال التأخير يتم مصادرة التأمين ,مغادرة الجامعة، تسليم الخزانة,العقوبات
شو الإجراءات إذا تسببت في تلف الخزنة؟,إذا تسببت في تلف الخزنة، بتدفع غرامة تعادل مثلي قيمة الضرر أو الأذى الناتج عن سوء الاستخدام ,تلف الخزانة، غرامة,العقوبات
شو العقوبات إذا ضبطوا مواد ممنوعة داخل الخزانة؟,إذا ضبطوا مواد ممنوعة، بتتخذ بحقك إجراءات تأديبية مثل التنبيه أو الإنذار أو حرمانك من استخدام الخزنة، ويمكن كمان الفصل من الجامعة ,مواد ممنوعة، إجراءات تأديبية,العقوبات
"شو بتعني ""الخدمة على أساس التفرغ الكامل""؟",يعني الموظف لازم يكون شغال بدوام كامل في الجامعة مش بنظام جزئي أو عمل إضافي ,التفرغ الكامل، خدمة الموظف,توظيف
"شو بتعني ""سلفة قابلة للاسترداد""؟",يعني المبلغ اللي أخده الموظف هو قرض مؤقت لازم يرجعه إذا فقد حقه في المكافأة لأي سبب كان ,سلفة قابلة للاسترداد,مكافأة
شو بيصير إذا استخدمت الخزانة لفترة أكثر من المسموح؟,إذا استخدمت الخزانة لفترة أكثر من المسموح بها، ممكن يتم فرض عقوبات تأديبية مثل الحرمان من استخدام الخزانة أو حتى الفصل من الجامعة ,استخدام غير مسموح، عقوبات,العقوبات
شو بيصير إذا تسببت في ضرر للخزانة أو للممتلكات؟,إذا تسببت في ضرر للخزانة أو لممتلكات الجامعة، بتدفع غرامة قيمتها مثلي بدل الضرر أو الأذى الناتج عن سوء الاستخدام ,ضرر، غرامة,العقوبات
شو بيصير إذا سحبت من الجامعة وأنا لسا مش مستلم خزنة؟,الشؤون المالية بتقوم بتقيد الأسماء للطلاب اللي انسحبوا من الجامعة، عشان يتم تسليم الخزائن لطلاب آخرين ,انسحاب من الجامعة، تسليم الخزائن,الإجراءات المالية
"شو بيعني ""التعويض"" في هذه التعليمات؟","التعويض"" هو المبلغ اللي ممكن يدفع للموظف في حالة إنه ترك العمل أو في حال تم تحديده بموجب التعليمات والنظام 	التعويض، المكافأة	مكافأة
هل إذا اشتغلت بنظام عقود بيحق لي أخذ المكافأة؟	إيوة، إذا كنت موظف بعقد في الجامعة، بتشملك التعليمات وتقدر تطلب نسبة من المكافأة 	عقود، مكافأة نهاية الخدمة	توظيف
إذا الموظف طلب النسبة من المكافأة، وترك شغله بعد فترة، شو بيصير؟	بيتم خصم المبلغ اللي أخده الموظف من مستحقاته في حال ترك العمل قبل نهاية الخدمة 	ترك العمل، خصم المبلغ	مكافأة
إذا ما عندي كفيل بديل وترك الكفيل العمل، شو بيصير؟	في هالحالة، بيتم حجز 50% من قيمة القرض من مستحقات الكفيل الذي ترك العمل 	حجز القرض، كفيل بديل	كفالة
شو هي المادة اللي بتحدد شروط صرف النسبة من المكافأة؟	المادة (3) هي اللي بتحدد الشروط، مثل مدة الخدمة وأسماء الكفلاء 	المادة (3)، شروط المكافأة	مكافأة
إذا كنت شغال بالجامعة على أساس التفرغ الجزئي، بقدر أطلب المكافأة؟	لا، لازم تكون الخدمة على أساس التفرغ الكامل عشان تقدر تطلب المكافأة 	التفرغ الجزئي، التفرغ الكامل	توظيف
إذا كنت شغال بالمكافأة الشهرية، بتشملني التعليمات؟	لا، التعليمات ما تشمل العاملين اللي بياخدوا مكافأة شهرية 	المكافأة الشهرية، العاملين	توظيف
شو الإجراءات إذا طلع قرار من الرئيس بشأن الحالات غير الواضحة؟	الرئيس بيقرر حسب الحالة، وإذا لزم الأمر بيصدر قرار رسمي 	قرار الرئيس، الحالات الغير واضحة	إدارة
إذا ترك الكفيل الجامعة بعد ما كفّلني، شو بيصير؟	لازم أجيب كفيل بديل عشان تظل النسبة سارية، وإذا ما قدرت أجيب، بيتم حجز 50% من مستحقات الكفيل اللي ترك العمل 	الكفيل، ترك العمل	كفالة
شو بيصير إذا قدمت طلب للمكافأة وما استوفيت الشروط؟	إذا ما استوفيت الشروط، ما بيتم الموافقة على الطلب 	طلب المكافأة، الشروط	مكافأة
شو يعني إذا قلت ""المكافأة غير قابلة للصرف""؟	يعني إنه الموظف ما بقدر ياخد المكافأة بسبب شروط غير مستوفاة، أو فقد حقه فيها لأسباب معينة 	المكافأة غير قابلة للصرف	مكافأة
إذا كان عندي  0 سنين خدمة، بقدر أطلب المكافأة حتى لو في إجازة؟	لا، لازم الخدمة تكون فعلية بدون إجازات طويلة أو بدون راتب 	الإجازات، الخدمة الفعلية	مكافأة
كيف يتم تحديد المستحقات النهائية عند ترك العمل؟	المستحقات النهائية بتشمل المبالغ اللي تم صرفها أو خصمها من المكافأة بناءً على التعليمات 	المستحقات، ترك العمل	مكافأة
",,
شو صار إذا واحد من الكفلاء ترك العمل بالجامعة؟,إذا ترك الكفيل عمله بالجامعة، لازم الموظف يجيب كفيل بديل ,الكفيل، ترك العمل,كفالة
شو مدة التأمين المسترد على الخزانة؟,التأمين المسترد هو 5 دنانير لكل خزنة، وبترجع بعد ما تسلم الخزنة في الوقت المحدد ,تأمين مسترد، مدة التأمين,تكاليف الاستخدام
شو هي الإجراءات المالية لتسليم الخزائن؟,يتم تسليم الخزائن بعد أن يتم دفع بدلات الاستخدام والتأمين، وإذا تم التأخير، يتم ضبط الخزانة وكتابة محضر ,الإجراءات المالية، تسليم الخزائن,الإجراءات المالية
شو هي العقوبات التي قد يواجهها الطالب في حال فقد مفتاح الخزانة؟,إذا فقد الطالب مفتاح الخزانة، يجب عليه دفع   دينار بدل نسخة مفتاح مفقود ,مفتاح مفقود، بدل مفتاح مفقود,العقوبات
شو هي تعليمات تأجير الخزائن الحديدية بالجامعة؟,هي تعليمات بتنظم عملية تأجير واستخدام الخزائن الحديدية داخل حرم الجامعة للطلاب، وتحدد الشروط والبدلات الخاصة بها ,تأجير، خزائن حديدية، شروط,تأجير
شو هي تعليمات صرف المكافأة للعاملين في الجامعة الهاشمية؟,هي تعليمات بتنظم طريقة صرف مكافأة نهاية الخدمة للعاملين في الجامعة الهاشمية، وبموجبها بيقدر الموظف ياخد نسبة من مكافأته بعد  0 سنين خدمة ,تعليمات، مكافأة نهاية الخدمة,مكافأة
"شو يعني ""إقرار خطي"" اللي بيوقعه الموظف والكفيل؟",يعني إنهم بيوقعوا ورقة بتقول إن المبلغ اللي أخده الموظف هو سلفة، وإذا فقد حقه، لازم يرجعوه للجامعة ,إقرار خطي، سلفة قابلة للاسترداد,مكافأة
في أي الحالات تسقط عضوية العضو في المجلس؟,تسقط عضوية العضو في حال ارتكابه عملاً محظوراً أو مخالفاً لأهداف المجلس، إذا ارتكب مخالفة تأديبية، إذا أدين بارتكاب جناية أو جنحة، فقدان شروط العضوية، الوفاة، الاستقالة، الانتقال من كلية إلى أخرى، التغيب المتكرر عن الجلسات ,تسقط العضوية,تعليم
في أي الحالات يتم فصل الطالب من برنامج الماجستير؟,يتم فصل الطالب إذا لم يحصل على الحد الأدنى للنجاح في أكثر من مادتين في أي فصل دراسي أو في مجموع الفصول الدراسية، أو إذا لم يحصل على الحد الأدنى للمعدل التراكمي بعد الإنذار ,الفصل من الماجستير,الفصل الأكاديمي
في أي الحالات يفقد الطالب مقعده في برنامج الاختصاص العالي؟,يفقد الطالب مقعده إذا لم يسجل لأي سنة دراسية في المواعيد المحددة أو لم يلتحق بدوامه خلال أسبوعين من بدء السنة الدراسية الأولى ,فقدان المقعد، التسجيل، الحضور,تعليم
في أي حالات يتم فصل الطالب من البرنامج الأكاديمي؟,يتم فصل الطالب بناءً على تنسيب من لجنة الكلية وتوصية من لجنة القسم في عدة حالات، مثل عدم حصوله على المعدل الأدنى بعد مرور فصلين من الإنذار أو ارتكاب مخالفة توجب فصله، أو إذا انسحب من جميع المواد في الفصل الأول من دراسته ,الفصل الأكاديمي,الإنذار والفصل
في أي حالات يمكن أن تنتهي بعثة الموفد بقرار من الجهة المانحة؟,تنتهي البعثة إذا تم فصله من الدراسة، تقصير أو رسوب يمنع استكمال الدراسة، خرق أحكام النظام، تجاوز المدة المقررة، انقطاعه عن الدراسة بدون عذر مشروع، أو في حالات قانونية مثل الأحكام الجنائية أو الأنشطة السياسية المخالفة ,إنهاء البعثة، الأسباب,قانونية، أكاديمية
في أي حالة لا يُقبل الطالب بعد فقدان مقعده؟,لا يُقبل الطالب إذا كان منذراً عند فقدانه لمقعده ,القبول، فقدان المقعد,تعليم
في أي حالة يعتبر الطالب راسبًا ويُفصل من التخصص؟,إذا غاب الطالب أكثر من خمسة أسابيع دون عذر قهري أو مرضي مقبول، يُعتبر راسبًا ويفصل من التخصص ,الغياب، الفصل,تعليم
في حالة الغياب بعذر مرضي أو قهري، ماذا يحدث للطالب؟,إذا غاب الطالب بعذر مرضي أو قهري، يعتبر منسحباً من المادة ويُطبق عليه أحكام الانسحاب ,عذر مرضي,تعليم
في حال غياب الطالب بعذر مرضي أو قهري، ماذا يحدث؟,إذا غاب الطالب بعذر مرضي أو قهري مقبول من عميد الكلية، يعد منسحباً من المادة وتطبق عليه أحكام الانسحاب ,عذر مرضي، انسحاب,تعليم
كم المبلغ اللي لازم أدفعه لاستخدام الخزنة؟,لازم تدفع 5 دنانير سنوياً بدل استخدام الخزنة و5 دنانير تأمين مسترد، وإذا ضيعت المفتاح، بتدفع دينار واحد بدل نسخة مفتاح مفقود ,بدل الاستخدام، تأمين، بدل مفتاح مفقود,تكاليف الاستخدام
كم المدة التي يجب أن يعدل فيها الطالب رسالته بعد المناقشة؟,إذا كانت المناقشة تتطلب تعديلات طفيفة، يجب أن يُعدل الطالب رسالته في فترة لا تتجاوز شهرًا ,فترة التعديل,تعديل الرسالة
كم تبلغ علاوة الانتقال والسفر للفئة الأولى؟,تبلغ علاوة الانتقال والسفر للفئة الأولى 30 دينار لكل ليلة ,علاوة الفئة الأولى، مبلغ العلاوة,مالي
كم تبلغ علاوة الانتقال والسفر للفئة الثالثة؟,تبلغ علاوة الانتقال والسفر للفئة الثالثة  0 دينار لكل ليلة ,علاوة الفئة الثالثة، مبلغ العلاوة,مالي
كم تبلغ علاوة الانتقال والسفر للفئة الثانية؟,تبلغ علاوة الانتقال والسفر للفئة الثانية  4 دينار لكل ليلة ,علاوة الفئة الثانية، مبلغ العلاوة,مالي
كم تبلغ علاوة الانتقال والسفر للفئة الخاصة؟,تبلغ علاوة الانتقال والسفر للفئة الخاصة 40 دينار لكل ليلة ,علاوة الفئة الخاصة، مبلغ العلاوة,مالي
كم تبلغ علاوة الانتقال والسفر للفئة الرابعة؟,تبلغ علاوة الانتقال والسفر للفئة الرابعة  6 دينار لكل ليلة ,علاوة الفئة الرابعة، مبلغ العلاوة,مالي
كم تبلغ علاوة السفر الخارجي للفئة الأولى في دول الفئة (أ)؟,تبلغ علاوة السفر الخارجي للفئة الأولى في دول الفئة (أ)  58 دينار لكل ليلة ,علاوة الفئة الأولى، السفر الخارجي,مالي
كم تبلغ علاوة السفر الخارجي للفئة الثالثة في دول الفئة (أ)؟,تبلغ علاوة السفر الخارجي للفئة الثالثة في دول الفئة (أ)   3 دينار لكل ليلة ,علاوة الفئة الثالثة، السفر الخارجي,مالي
كم تبلغ علاوة السفر الخارجي للفئة الثانية في دول الفئة (أ)؟,تبلغ علاوة السفر الخارجي للفئة الثانية في دول الفئة (أ)  35 دينار لكل ليلة ,علاوة الفئة الثانية، السفر الخارجي,مالي
كم تبلغ علاوة السفر الخارجي للفئة الخاصة في دول الفئة (أ)؟,تبلغ علاوة السفر الخارجي للفئة الخاصة في دول الفئة (أ)   5 دينار لكل ليلة ,علاوة الفئة الخاصة، السفر الخارجي,مالي
