السؤال,الجواب,الكلمة المفتاحية,التصنيف,score
   ما هي الشروط المطلوبة للتحويل من الأجرة اليومية إلى العقد السنوي؟,"يجب أن يكون العامل قد أمضى سنتين متصلتين في الجامعة، وألا يقل تقديره في التقرير السنوي عن جيد جدًا، وألا تكون قد فرضت عليه عقوبات خلال السنتين الأخيرتين ","التحويل، الأجرة اليومية، العقد السنوي",قوانين العمل,0.529341936
 0  ماذا يحدث إذا كان الموظف مجازًا واحتاج للعمل في ظروف مصلحة العمل؟,يمكن للعميد أو المدير طلب من الموظف قطع إجازته والالتحاق بالعمل بناءً على مصلحة العمل ,"الإجازة، المصلحة",قوانين العمل,0.531385064
    ما هي إجراءات منح الإجازة السنوية؟,"يجب تعبئة النموذج المخصص للإجازة، وتُرسل نسخة من الموافقة إلى دائرة الموارد البشرية لترصيدها ","الإجازة السنوية، الإجراءات",قوانين العمل,0.531331658
    ماذا يحدث إذا تم تكليف الموظف بعمل خارج الدوام؟,يمكن منح الموظف إجازة إدارية مقابل العمل خارج الدوام الرسمي ,"العمل خارج الدوام، الإجازة الإدارية",قوانين العمل,0.532511771
 3  كيف يتم منح الإجازة الإدارية؟,"يتم منح الإجازة الإدارية في حال تم تكليف الموظف بإنجاز أعمال ضرورية خارج أوقات الدوام الرسمي، ولم يتقاضَ مقابل ذلك ",الإجازة الإدارية,قوانين العمل,0.530035377
 4  ما هي الحدود القصوى للإجازة الإدارية؟,لا يجوز أن تتجاوز الإجازة الإدارية السنوية الإجازة السنوية المنصوص عليها في النظام ,الإجازة الإدارية,قوانين العمل,0.531679451
 5  ماذا يحدث إذا تطلبت المصلحة تكليف الموظف أثناء إجازته السنوية؟,يمكن تكليف الموظف للعمل خلال إجازته السنوية مقابل مكافأة شريطة ألا تزيد مدة المكافأة عن ثلاثة أرباع الإجازة المستحقة له ,"إجازة سنوية، المكافأة",قوانين العمل,0.529619873
 6  كيف يتم التعامل مع الإجازة في حالة الطوارئ؟,يجب على الموظف إبلاغ رئيسه المباشر في حالته الطارئة وعدد الأيام التي سيتغيب فيها ,إجازة الطوارئ,قوانين العمل,0.529604077
 7  هل يمكن للموظف استنفاد إجازته السنوية؟,"يمكن منح الموظف إجازة اضطرارية إذا استنفد إجازته السنوية، بشرط أن تكون المدة لا تزيد عن سبعة أيام ","إجازة سنوية، إجازة اضطرارية",قوانين العمل,0.530299187
 8  ماذا يحدث إذا طلب الموظف إجازة اضطرارية لأكثر من سبعة أيام؟,يتم خصم الأيام التي تتجاوز السبعة أيام من راتب الموظف ,"إجازة اضطرارية، الراتب",قوانين العمل,0.531878531
 9  ما هي الحالات التي يجوز فيها منح إجازة اضطرارية؟,تشمل الحالات المرضية التي تتطلب مرافقة أحد أقارب الموظف إلى المستشفى أو الحوادث الخاصة مثل الحرائق ,"إجازة اضطرارية، الحالات الخاصة",قوانين العمل,0.529280722
   هل يمكن تحويل العامل بالأجرة اليومية إلى عقد سنوي في حالة عدم موافقة اللجنة؟,"في حالة عدم موافقة اللجنة، يمكن تحويله إلى العقد سنة فسنة ","اللجنة، التحويل",قوانين العمل,0.529819727
30  ما هي الحالات التي تمنح فيها إجازة براتب كامل؟,"يتم منح إجازة براتب كامل في حال وفاة أحد الأقارب من الدرجة الأولى، مثل الوالدين أو الأبناء ","إجازة وفاة، براتب كامل",قوانين العمل,0.529660225
3   كيف يتم حساب مغادرة الموظف أثناء الدوام؟,"يتم احتساب كل ثماني ساعات مغادرة متقطعة ليوم إجازة، أما المغادرات التي تزيد عن ثلاث ساعات فتحسب إجازة يوم كامل ","مغادرة، إجازة",قوانين العمل,0.528478324
3   هل يمكن للموظفة المرضع أن تحصل على ساعة رضاعة خلال الدوام؟,"نعم، يحق لها ساعة رضاعة واحدة في اليوم بعد إجازة الأمومة، ولا تُحتسب من الإجازة السنوية ","رضاعة، إجازة أمومة",قوانين العمل,0.529675126
33  ماذا يحدث إذا طلبت الموظفة المرضع إجازة دون راتب؟,يحق لها إجازة دون راتب لمدة أو مدتين لا تزيد مجموعها على سنة من تاريخ انتهاء إجازة الأمومة ,"إجازة مرضع، دون راتب",قوانين العمل,0.530701876
34  ما هي الإجازة التي تمنح للموظف المريض؟,"يتم منح إجازة مرضية للموظف لمدة  5 يومًا بأجر كامل، و45 يومًا بأجر نصف شهري ",إجازة مرضية,قوانين العمل,0.53097713
35  كم تبلغ مدة إجازة الموظف المريض؟,إجازة مرضية تصل إلى 60 يومًا في السنة بشرط أن يثبت الموظف حالته الصحية ,إجازة مرضية,قوانين العمل,0.52900666
36  هل يمكن منح إجازة مرضية لمدة أطول من 60 يومًا؟,"نعم، يجوز منح إجازة مرضية أطول بناءً على قرار لجنة طبية مختصة ","إجازة مرضية، لجنة طبية",قوانين العمل,0.530448616
37  هل يوجد فرق بين الإجازة المرضية للموظفين المؤقتين والدائمين؟,"نعم، الموظفون الدائمون لديهم أحقية في إجازات مرضية أطول مقارنة بالموظفين المؤقتين ",إجازة مرضية,قوانين العمل,0.531918824
38  ماذا يحدث إذا كانت الإجازة المرضية للموظف تتجاوز المدة المحددة؟,يتم خصم الأيام التي تتجاوز المدة المحددة من راتب الموظف ,"إجازة مرضية، خصم",قوانين العمل,0.532431662
39  ما هي الشروط التي تمنع الموظف من الحصول على إجازة؟,يجب أن يكون الموظف قد أتم سنتين متتاليتين في العمل في الجامعة ,"إجازة، الشروط",قوانين العمل,0.529941142
3  ما هي الشروط المطلوبة للتحويل من العقد السنوي إلى الراتب الشهري المقطوع للوظائف الحرفية؟,يجب أن لا تقل خدمة الموظف عن خمس سنوات وأن لا يقل تقديره في التقرير السنوي عن جيد جداً ,"العقد السنوي، الراتب المقطوع، الوظائف الحرفية",قوانين العمل,0.530511558
40  هل يمكن تمديد الإجازة السنوية؟,"نعم، يمكن تمديد الإجازة السنوية بناءً على موافقة الرئيس أو المدير المختص ","تمديد، إجازة سنوية",قوانين العمل,0.531486392
4  ما هي المتطلبات لتحويل الموظف من العقد السنوي إلى الدرجة المصنفة؟,"يجب أن لا تقل الخدمة عن أربع سنوات في الجامعة، وأن لا يقل تقديره عن جيد جداً في السنتين الأخيرتين، وأن يكون حاصلاً على شهادة الثانوية العامة ","العقد السنوي، الدرجة المصنفة",قوانين العمل,0.529569685
5  كيف يتم احتساب رواتب الموظفين عند تحويلهم إلى الدرجات؟,"يتم احتساب الرواتب وفقاً لسلم الرواتب وحسب الأسس المتبعة في تحديد الرواتب، مع احتساب سنوات الخدمة داخل الجامعة ","الرواتب، الدرجات، سنوات الخدمة",قوانين العمل,0.529640615
6  ماذا يحدث في حالة تحويل الموظف من العقد السنوي إلى الراتب المقطوع؟,"يتم احتساب الرواتب وفقًا لسلم الرواتب الخاص بالرواتب المقطوعة، مع ضمان عدم انخفاض راتب الموظف عن راتبه الأساسي في العقد السنوي ","العقد السنوي، الراتب المقطوع",قوانين العمل,0.530309677
7  كيف يتم ترقية الموظف؟,يتم رفع الموظف إلى درجة أعلى أو نقله إلى فئة أعلى بناءً على توصية اللجنة وقرار المرجع المختص بالتعيين ,"الترقية، اللجنة",قوانين العمل,0.528966188
8  ماذا يحدث إذا وصل راتب الموظف إلى أعلى مربوط الفئة؟,لا يتم منحه الزيادة السنوية إلا إذا توفرت شروط الترقية ,"الراتب، الترقية",قوانين العمل,0.530055106
9  ما هي شروط الترفيع للموظف الذي لم تتوافر فيه شروط الترفيع؟,يتم رفعه إلى درجة أعلى بعد زوال السبب المانع للترفيع ,"الترفيع، الدرجة الأعلى",قوانين العمل,0.529555976
أين تقع الجامعة الهاشمية؟,"تقع الجامعة الهاشمية في مدينة الزرقاء، على بعد حوالي  0 كم شمال شرق عمان ",موقع الجامعة,تعليم,0.529547393
أين تقع جامعة الأميرة سمية للتكنولوجيا؟,تقع جامعة الأميرة سمية للتكنولوجيا في عمان ,"جامعة الأميرة سمية، عمان",التعليم,0.529648602
أين تقع جامعة اليرموك؟,تقع جامعة اليرموك في إربد ,"جامعة اليرموك، إربد",التعليم,0.528961003
أين تقع مدينة الزرقاء بالنسبة للعاصمة عمان؟,تقع مدينة الزرقاء على بعد حوالي  0 كم شمال شرق عمان ,مدينة الزرقاء,تعليم,0.529957712
أين يتم إيداع أموال المجلس؟,تودع أموال المجلس في البنك العامل في الحرم الجامعي ,إيداع الأموال,تعليم,0.531632781
أين يتم تخزين اللوازم الزراعية في الجامعة؟,في مستودعات شعبة الزراعة,مستودعات الزراعة,معلومات عامة,0.530909538
"إذا أُوقعت عقوبة تأديبية على طالب وأُلغي تسجيله في مواد معينة، هل يُعتبر ذلك انقطاعًا عن الدراسة؟",لا يعد ذلك تأجيلاً أو انقطاعًا عن الدراسة ,"عقوبة تأديبية، إلغاء تسجيل",انقطاع عن الدراسة,0.531246066
"إذا استخدمت الخزانة لأغراض غير مسموح بها، هل يتم فرض عقوبات؟","نعم، إذا استخدمت الخزانة لأغراض غير مسموح بها، تتخذ بحقك عقوبات تأديبية مثل الإنذار أو حرمانك من استخدام الخزانة ","استخدام غير مسموح، عقوبات",العقوبات,0.531201899
"إذا اشتغلت بالجامعة 9 سنين، فيني أخد نسبة 50% من المكافأة؟","لا، لازم تكون خدمت الموظف في الجامعة  0 سنين على الأقل ليقدر يتقدم للحصول على النسبة ","مدة الخدمة، مكافأة نهاية الخدمة",توظيف,0.531404734
"إذا الكفيل عنده أقل من 7 سنين خدمة، بيقدر يكفل؟","لا، لازم الكفيل يكون خدمته في الجامعة 7 سنين عالأقل ","الكفيل، مدة الخدمة",كفالة,0.531126916
"إذا انسحبت من الجامعة، هل لازم أسلم الخزانة؟","إيوة، إذا انسحبت من الجامعة لازم تسلم الخزانة عشان يتم إرجاع التأمين إليك ","انسحاب من الجامعة، تسليم الخزانة",الإجراءات المالية,0.530936241
"إذا انضبطت وأنا بستخدم الخزانة لشيء مش مسموح، شو ممكن يصير؟","إذا استخدمت الخزانة لشيء مش مسموح، بتتعرض لعقوبات تأديبية مثل الإنذار أو الحرمان من استخدام الخزنة لفصل دراسي أو أكثر، أو حتى الفصل من الجامعة ","استخدام غير مسموح، عقوبات",العقوبات,0.531082451
"إذا انقطع الطالب عن الدراسة لأكثر من فصل دراسي، هل يُسمح له بالتسجيل؟","نعم، إذا قُبل عذره من مجلس العمداء، ولكن يتم فصله إذا لم يُقبل ","انقطاع، فصل دراسي، عذر",انقطاع عن الدراسة,0.531573057
"إذا تخرجت أو تركت الجامعة، شو بيصير مع مفتاح الخزنة؟","لازم تسلم المفتاح خلال شهر من تاريخ تخرجك أو تركك للجامعة، وإذا تأخرت بيتم مصادرة التأمين ","تسليم المفتاح، مصادرة التأمين",شروط الاستخدام,0.530260324
"إذا تركت الجامعة قبل ما أحصل على المكافأة، شو بيصير؟",لازم الموظف يرد المبلغ إذا تبين إنه فقد حقه في المكافأة لأي سبب كان ,"رد المبلغ، فقدان الحق",مكافأة,0.529152989
"إذا تم قبول الطالب في الجامعة وكان قد درس مواد في جامعة أخرى، هل تحتسب له هذه المواد؟","نعم، إذا كانت المواد قد دراست بنجاح وحصل فيها على علامة لا تقل عن ج أو ما يعادلها، يمكن احتسابها ولكن لا تدخل في المعدل التراكمي ",احتساب المواد,تعليم,0.529861391
"إذا ضيعت المفتاح، شو لازم أعمل؟","إذا ضيعت المفتاح، لازم تدفع دينار واحد بدل نسخة مفتاح مفقود ","مفتاح مفقود، بدل مفتاح مفقود",تكاليف الاستخدام,0.530626357
"إذا قرر الطالب ترك الجامعة قبل انتهاء الفصل الدراسي، هل يستطيع استرجاع المبالغ المدفوعة؟","لا، لا يمكن استرجاع المبالغ المدفوعة مثل بدل الاستخدام أو التأمين في حال ترك الطالب الجامعة قبل انتهاء الفصل الدراسي ","ترك الجامعة، استرجاع المبالغ",العقوبات,0.530183911
"إذا كان الطالب منتقلاً من كلية مجتمع، هل يتم معادلة المواد التي درسها؟","نعم، يتم معادلة المواد التي درسها بنجاح في كلية المجتمع وفقاً للإجراءات المتبعة إذا كانت تنطبق شروط المعدل المطلوب ",معادلة المواد,تعليم,0.529997706
"إذا كانت الخزانة تالفة عند تسلمي لها، شو بيصير؟","يجب على الطالب إعلام المسؤول عن الخزانة في حال كانت تالفة عند تسليمها، وفي حال تم إلحاق ضرر بها، يتحمل الطالب المسؤولية عن ذلك ","الخزانة تالفة، ضرر الخزانة",العقوبات,0.528679192
"إذا كانت الخزانة تحتوي على مواد محظورة، شو العقوبة المترتبة؟","إذا تم ضبط مواد محظورة داخل الخزانة، سيتم اتخاذ إجراءات تأديبية مثل التنبيه أو الحرمان من الخزانة أو حتى الفصل من الجامعة ","مواد محظورة، عقوبات تأديبية",العقوبات,0.529788435
"إذا كنت أشتغل بالجامعة مدة 8 سنين، هل بقدر أخد نسبة من المكافأة؟","لا، لازم تكون خدمت الموظف  0 سنين على الأقل عشان يتأهل للحصول على النسبة ","مدة الخدمة، مكافأة نهاية الخدمة",مكافأة,0.532315552
"إذا لم أتمكن من دفع بدل التأمين، هل يمكنني تأجير الخزنة؟","لا، يجب دفع بدل التأمين قبل تأجير الخزنة، ولا يمكن تأجير الخزانة بدون دفع التأمين ","بدل التأمين، دفع",تكاليف الاستخدام,0.530629218
"إذا لم أسلم الخزانة بالوقت المحدد، شو بيصير؟","إذا ما سلمت الخزانة في الوقت المحدد، بيتم ضبط محتوياتها وبيتم عمل محضر، وبتم إرسال المحضر لوحدة الشؤون المالية ","تسليم الخزانة، محضر ضبط",العقوبات,0.530370057
"إذا ما قدرت أجيب كفيل بديل، شو بيصير؟","إذا ما جبت كفيل بديل، بيتم حجز 50% من قيمة القرض من مستحقات الكفيل اللي ترك العمل ","حجز القرض، كفيل بديل",كفالة,0.53044945
إلى أي فئة ينتمي رئيس الجامعة وفقاً للمادة (3)؟,ينتمي رئيس الجامعة إلى الفئة الخاصة ,"تصنيف الفئات، رئيس الجامعة","تنظيمي، تصنيف",0.531062424
بماذا يتم الإيفاد للحصول على درجات علمية؟,"يتم الإيفاد للحصول على درجة الماجستير أو درجة الدكتوراه بقرار من مجلس العمداء بناءً على تنسيب مجلس القسم المختص، ومجلس الكلية، وتوصية لجنة التعيين والترقية ","إيفاد للحصول على درجات علمية، الإجراءات","أكاديمية، إدارية",0.530950844
بناءً على أي قرار تم إصدار هذه التعليمات؟,قرار مجلس الجامعة رقم ( 0/ / 0 4),قرار مجلس الجامعة,معلومات عامة,0.537186205
شو إجراءات تسليم الخزانة إذا غادرت الجامعة بشكل نهائي؟,"يجب على الطالب تسليم الخزانة قبل مغادرته للجامعة، وفي حال التأخير يتم مصادرة التأمين ","مغادرة الجامعة، تسليم الخزانة",العقوبات,0.530371428
شو الإجراءات إذا تسببت في تلف الخزنة؟,"إذا تسببت في تلف الخزنة، بتدفع غرامة تعادل مثلي قيمة الضرر أو الأذى الناتج عن سوء الاستخدام ","تلف الخزانة، غرامة",العقوبات,0.529680192
شو العقوبات إذا ضبطوا مواد ممنوعة داخل الخزانة؟,"إذا ضبطوا مواد ممنوعة، بتتخذ بحقك إجراءات تأديبية مثل التنبيه أو الإنذار أو حرمانك من استخدام الخزنة، ويمكن كمان الفصل من الجامعة ","مواد ممنوعة، إجراءات تأديبية",العقوبات,0.53140974
"شو بتعني ""الخدمة على أساس التفرغ الكامل""؟",يعني الموظف لازم يكون شغال بدوام كامل في الجامعة مش بنظام جزئي أو عمل إضافي ,"التفرغ الكامل، خدمة الموظف",توظيف,0.531832337
"شو بتعني ""سلفة قابلة للاسترداد""؟",يعني المبلغ اللي أخده الموظف هو قرض مؤقت لازم يرجعه إذا فقد حقه في المكافأة لأي سبب كان ,سلفة قابلة للاسترداد,مكافأة,0.530292451
شو بيصير إذا استخدمت الخزانة لفترة أكثر من المسموح؟,"إذا استخدمت الخزانة لفترة أكثر من المسموح بها، ممكن يتم فرض عقوبات تأديبية مثل الحرمان من استخدام الخزانة أو حتى الفصل من الجامعة ","استخدام غير مسموح، عقوبات",العقوبات,0.530876875
شو بيصير إذا تسببت في ضرر للخزانة أو للممتلكات؟,"إذا تسببت في ضرر للخزانة أو لممتلكات الجامعة، بتدفع غرامة قيمتها مثلي بدل الضرر أو الأذى الناتج عن سوء الاستخدام ","ضرر، غرامة",العقوبات,0.529897749
شو بيصير إذا سحبت من الجامعة وأنا لسا مش مستلم خزنة؟,"الشؤون المالية بتقوم بتقيد الأسماء للطلاب اللي انسحبوا من الجامعة، عشان يتم تسليم الخزائن لطلاب آخرين ","انسحاب من الجامعة، تسليم الخزائن",الإجراءات المالية,0.531377077
شو صار إذا واحد من الكفلاء ترك العمل بالجامعة؟,"إذا ترك الكفيل عمله بالجامعة، لازم الموظف يجيب كفيل بديل ","الكفيل، ترك العمل",كفالة,0.531815469
شو مدة التأمين المسترد على الخزانة؟,"التأمين المسترد هو 5 دنانير لكل خزنة، وبترجع بعد ما تسلم الخزنة في الوقت المحدد ","تأمين مسترد، مدة التأمين",تكاليف الاستخدام,0.530123532
شو هي الإجراءات المالية لتسليم الخزائن؟,"يتم تسليم الخزائن بعد أن يتم دفع بدلات الاستخدام والتأمين، وإذا تم التأخير، يتم ضبط الخزانة وكتابة محضر ","الإجراءات المالية، تسليم الخزائن",الإجراءات المالية,0.530105293
شو هي العقوبات التي قد يواجهها الطالب في حال فقد مفتاح الخزانة؟,"إذا فقد الطالب مفتاح الخزانة، يجب عليه دفع   دينار بدل نسخة مفتاح مفقود ","مفتاح مفقود، بدل مفتاح مفقود",العقوبات,0.531309783
شو هي تعليمات تأجير الخزائن الحديدية بالجامعة؟,"هي تعليمات بتنظم عملية تأجير واستخدام الخزائن الحديدية داخل حرم الجامعة للطلاب، وتحدد الشروط والبدلات الخاصة بها ","تأجير، خزائن حديدية، شروط",تأجير,0.530111849
شو هي تعليمات صرف المكافأة للعاملين في الجامعة الهاشمية؟,"هي تعليمات بتنظم طريقة صرف مكافأة نهاية الخدمة للعاملين في الجامعة الهاشمية، وبموجبها بيقدر الموظف ياخد نسبة من مكافأته بعد  0 سنين خدمة ","تعليمات، مكافأة نهاية الخدمة",مكافأة,0.529511511
"شو يعني ""إقرار خطي"" اللي بيوقعه الموظف والكفيل؟","يعني إنهم بيوقعوا ورقة بتقول إن المبلغ اللي أخده الموظف هو سلفة، وإذا فقد حقه، لازم يرجعوه للجامعة ","إقرار خطي، سلفة قابلة للاسترداد",مكافأة,0.53154552
في أي الحالات تسقط عضوية العضو في المجلس؟,"تسقط عضوية العضو في حال ارتكابه عملاً محظوراً أو مخالفاً لأهداف المجلس، إذا ارتكب مخالفة تأديبية، إذا أدين بارتكاب جناية أو جنحة، فقدان شروط العضوية، الوفاة، الاستقالة، الانتقال من كلية إلى أخرى، التغيب المتكرر عن الجلسات ",تسقط العضوية,تعليم,0.529000163
في أي الحالات يتم فصل الطالب من برنامج الماجستير؟,"يتم فصل الطالب إذا لم يحصل على الحد الأدنى للنجاح في أكثر من مادتين في أي فصل دراسي أو في مجموع الفصول الدراسية، أو إذا لم يحصل على الحد الأدنى للمعدل التراكمي بعد الإنذار ",الفصل من الماجستير,الفصل الأكاديمي,0.529629767
في أي الحالات يفقد الطالب مقعده في برنامج الاختصاص العالي؟,يفقد الطالب مقعده إذا لم يسجل لأي سنة دراسية في المواعيد المحددة أو لم يلتحق بدوامه خلال أسبوعين من بدء السنة الدراسية الأولى ,"فقدان المقعد، التسجيل، الحضور",تعليم,0.529493332
في أي حالات يتم فصل الطالب من البرنامج الأكاديمي؟,"يتم فصل الطالب بناءً على تنسيب من لجنة الكلية وتوصية من لجنة القسم في عدة حالات، مثل عدم حصوله على المعدل الأدنى بعد مرور فصلين من الإنذار أو ارتكاب مخالفة توجب فصله، أو إذا انسحب من جميع المواد في الفصل الأول من دراسته ",الفصل الأكاديمي,الإنذار والفصل,0.529562414
في أي حالات يمكن أن تنتهي بعثة الموفد بقرار من الجهة المانحة؟,"تنتهي البعثة إذا تم فصله من الدراسة، تقصير أو رسوب يمنع استكمال الدراسة، خرق أحكام النظام، تجاوز المدة المقررة، انقطاعه عن الدراسة بدون عذر مشروع، أو في حالات قانونية مثل الأحكام الجنائية أو الأنشطة السياسية المخالفة ","إنهاء البعثة، الأسباب","قانونية، أكاديمية",0.528939188
في أي حالة لا يُقبل الطالب بعد فقدان مقعده؟,لا يُقبل الطالب إذا كان منذراً عند فقدانه لمقعده ,"القبول، فقدان المقعد",تعليم,0.531791806
في أي حالة يعتبر الطالب راسبًا ويُفصل من التخصص؟,"إذا غاب الطالب أكثر من خمسة أسابيع دون عذر قهري أو مرضي مقبول، يُعتبر راسبًا ويفصل من التخصص ","الغياب، الفصل",تعليم,0.530578434
"في حالة الغياب بعذر مرضي أو قهري، ماذا يحدث للطالب؟","إذا غاب الطالب بعذر مرضي أو قهري، يعتبر منسحباً من المادة ويُطبق عليه أحكام الانسحاب ",عذر مرضي,تعليم,0.530845523
"في حال غياب الطالب بعذر مرضي أو قهري، ماذا يحدث؟","إذا غاب الطالب بعذر مرضي أو قهري مقبول من عميد الكلية، يعد منسحباً من المادة وتطبق عليه أحكام الانسحاب ","عذر مرضي، انسحاب",تعليم,0.530868471
كم المبلغ اللي لازم أدفعه لاستخدام الخزنة؟,"لازم تدفع 5 دنانير سنوياً بدل استخدام الخزنة و5 دنانير تأمين مسترد، وإذا ضيعت المفتاح، بتدفع دينار واحد بدل نسخة مفتاح مفقود ","بدل الاستخدام، تأمين، بدل مفتاح مفقود",تكاليف الاستخدام,0.529540896
كم المدة التي يجب أن يعدل فيها الطالب رسالته بعد المناقشة؟,"إذا كانت المناقشة تتطلب تعديلات طفيفة، يجب أن يُعدل الطالب رسالته في فترة لا تتجاوز شهرًا ",فترة التعديل,تعديل الرسالة,0.528906167
كم تبلغ علاوة الانتقال والسفر للفئة الأولى؟,تبلغ علاوة الانتقال والسفر للفئة الأولى 30 دينار لكل ليلة ,"علاوة الفئة الأولى، مبلغ العلاوة",مالي,0.530128598
كم تبلغ علاوة الانتقال والسفر للفئة الثالثة؟,تبلغ علاوة الانتقال والسفر للفئة الثالثة  0 دينار لكل ليلة ,"علاوة الفئة الثالثة، مبلغ العلاوة",مالي,0.531309187
كم تبلغ علاوة الانتقال والسفر للفئة الثانية؟,تبلغ علاوة الانتقال والسفر للفئة الثانية  4 دينار لكل ليلة ,"علاوة الفئة الثانية، مبلغ العلاوة",مالي,0.531124413
كم تبلغ علاوة الانتقال والسفر للفئة الخاصة؟,تبلغ علاوة الانتقال والسفر للفئة الخاصة 40 دينار لكل ليلة ,"علاوة الفئة الخاصة، مبلغ العلاوة",مالي,0.529571414
كم تبلغ علاوة الانتقال والسفر للفئة الرابعة؟,تبلغ علاوة الانتقال والسفر للفئة الرابعة  6 دينار لكل ليلة ,"علاوة الفئة الرابعة، مبلغ العلاوة",مالي,0.530594468
كم تبلغ علاوة السفر الخارجي للفئة الأولى في دول الفئة (أ)؟,تبلغ علاوة السفر الخارجي للفئة الأولى في دول الفئة (أ)  58 دينار لكل ليلة ,"علاوة الفئة الأولى، السفر الخارجي",مالي,0.531637132
كم تبلغ علاوة السفر الخارجي للفئة الثالثة في دول الفئة (أ)؟,تبلغ علاوة السفر الخارجي للفئة الثالثة في دول الفئة (أ)   3 دينار لكل ليلة ,"علاوة الفئة الثالثة، السفر الخارجي",مالي,0.531425178
كم تبلغ علاوة السفر الخارجي للفئة الثانية في دول الفئة (أ)؟,تبلغ علاوة السفر الخارجي للفئة الثانية في دول الفئة (أ)  35 دينار لكل ليلة ,"علاوة الفئة الثانية، السفر الخارجي",مالي,0.531250834
كم تبلغ علاوة السفر الخارجي للفئة الخاصة في دول الفئة (أ)؟,تبلغ علاوة السفر الخارجي للفئة الخاصة في دول الفئة (أ)   5 دينار لكل ليلة ,"علاوة الفئة الخاصة، السفر الخارجي",مالي,0.531483769
كم تبلغ علاوة السفر الخارجي للفئة الرابعة والخامسة في دول الفئة (أ)؟,تبلغ علاوة السفر الخارجي للفئة الرابعة والخامسة في دول الفئة (أ) 90 دينار لكل ليلة ,"علاوة الفئة الرابعة والخامسة، السفر الخارجي",مالي,0.530831695
كم ساعة تُحسب للطالب في حال الانتقال من جامعة أخرى؟,تُحسب بناءً على معادلة الأقسام الأكاديمية بحد أقصى 60 ساعة ,"ساعات معتمدة، انتقال",الانتقال,0.5288077
كم ساعة دراسية يُسمح للطالب بدراستها في الفصل الصيفي؟,الحد الأقصى    ساعة معتمدة ,"فصل صيفي، ساعات معتمدة",الدراسة,0.532821536
كم ساعة معتمدة يجب أن يُنهيها الطالب المنتظم قبل التخرج؟,جميع الساعات المطلوبة حسب الخطة الدراسية مع معدل تراكمي لا يقل عن   0 ,"ساعات معتمدة، تخرج",التخرج,0.530801773
كم عدد أعضاء مجلس المركز العلمي؟,يتكون مجلس المركز العلمي من عدد لا يزيد عن خمسة أعضاء يتم تعيينهم من قبل رئيس الجامعة لمدة سنتين قابلة للتجديد ,مجلس المركز العلمي,الأنظمة واللوائح,0.530032337
كم عدد الأعضاء الذين يتكون منهم مجلس البحث العلمي؟," 0 أعضاء (8 من هيئة التدريس،   من خارج الجامعة)",أعضاء المجلس,معلومات عامة,0.534592628
كم عدد الأعضاء الذين يمثلون كليات الجامعة في مجلس البحث العلمي؟,ثمانية أعضاء,أعضاء المجلس,معلومات عامة,0.532746434
