Question,Answer
ماذا يحدث إذا كان الطالب يسجل عدد ساعات أكثر من الحد الأعلى في الفصل الإجباري؟,يقوم مدير القبول والتسجيل بإلغاء المادة أو التسجيل إذا تجاوز الحد الأعلى.
هل يمكن للطالب التوقف عن دراسة مواد في الفصل الصيفي؟,"نعم، يمكنه التوقف إذا كان التخرج يتوقف على دراسة تلك المواد فقط."
ماذا يحدث إذا كان العبء الدراسي للطالب أقل من الحد الأدنى في الفصل الصيفي؟,يتم إلغاء تسجيل الطالب إلا في حال وجود حالات مبررة بموافقة عميد الكلية.
هل في حالات استثنائية يمكن للطالب دراسة أكثر من 10 ساعات في الفصل الصيفي؟,"نعم، إذا كانت شروط التخرج تتطلب ذلك، يمكن للطالب دراسة 12 ساعة معتمدة."
هل يستطيع الطالب دراسة 22 ساعة معتمدة في الفصل الصيفي؟,"لا، لا يجوز دراسة 22 ساعة في الفصل الصيفي، هذا فقط في الفصل الإجباري."
"إذا كان الطالب يدرس 22 ساعة معتمدة في الفصل الإجباري، هل يحتاج إلى موافقة؟","نعم، يجب أن يكون معدله التراكمي 3.5 أو أن يكون تخرجه متوقفًا على ذلك."
كم عدد الساعات المعتمدة التي يسمح للطالب بدراستها في الفصل الصيفي؟,يسمح له بدراسة 10 ساعات معتمدة كحد أقصى.
"إذا كان التخرج يتوقف على دراسة عدد أكبر من الساعات الصيفية، كم ساعة يمكن للطالب دراستها؟",يمكن للطالب دراسة 12 ساعة معتمدة في الفصل الصيفي.
"ماذا يعني أن ""يتوقف تخرج الطالب""؟",يعني أن الطالب لا يمكنه التخرج إلا إذا أتم دراسة المواد المطلوبة في الوقت المحدد.
هل يمكن للطالب دراسة مواد من أقسام أخرى في الجامعة؟,"نعم، بناءً على خطة دراسية يتم تحديد المواد التي يمكن أن يدرسها الطالب."
كيف يتم تصنيف الطالب في مستوى السنة الدراسية؟,يتم تصنيفه بناءً على عدد الساعات المعتمدة التي أتم دراستها.
هل يجوز للطالب تسجيل ساعات دراسية تزيد عن الحد المسموح في الفصل الصيفي؟,"لا، إلا إذا كانت ظروف التخرج تتطلب ذلك."
هل هناك استثناءات من الحد الأدنى للعبء الدراسي في الفصل الصيفي؟,"نعم، يمكن السماح للطالب بدراسة أكثر من 10 ساعات إذا كان تخرجه يتوقف على ذلك."
في أي حالة يُسمح للطالب بدراسة 22 ساعة معتمدة في الفصل الإجباري؟,إذا كان معدله التراكمي 3.5 أو إذا كان التخرج يتوقف على ذلك.
ماذا يحدث إذا تدرج الطالب في دراسة ساعات معتمدة بشكل غير صحيح؟,سيتم إلغاء تسجيله للمواد غير المطابقة لخطته الدراسية.
هل هناك فترة معينة للطالب لاختيار المواد؟,"نعم، يجب على الطالب اتباع خطة دراسية معينة لإتمام دراسته."
هل يستطيع الطالب دراسة مواد إضافية خارج التخصص؟,"نعم، إذا كانت المواد المضافة متاحة ضمن الخطة الدراسية المعتمدة."
"إذا اختار الطالب دراسة 22 ساعة معتمدة في الفصل الإجباري، هل يحق له ذلك؟","نعم، إذا حقق أحد الشرطين المذكورين في النص."
كيف يتم تحديد العبء الدراسي للطالب؟,يتم تحديده بناءً على عدد الساعات المعتمدة التي يسجلها الطالب في الفصل الدراسي.
هل يسمح للطالب بدراسة ساعات أكثر من الحد المسموح بها في الفصل الإجباري؟,"نعم، إذا كان معدله التراكمي لا يقل عن 3.5 أو كان تخرجه يتوقف على ذلك."
هل في حالة استثنائية يمكن للطالب دراسة أكثر من 10 ساعات في الفصل الصيفي؟,"نعم، يمكن للطالب دراسة 12 ساعة إذا كان تخرجه يتوقف على ذلك."
"إذا سجل الطالب عبءًا دراسيًا أقل من الحد الأدنى في فصل صيفي، ماذا يحدث؟","يتم إلغاء تسجيله للمادة، إلا في حال وجود موافقة عميد الكلية."
كم عدد الساعات المعتمدة التي يمكن للطالب دراستها إذا توقف تخرجه على المادة؟,يمكن له دراسة 22 ساعة في الفصل الإجباري أو 12 ساعة في الفصل الصيفي.
كم الحد الأعلى للعبء الدراسي في الفصل الصيفي؟,10 ساعات معتمدة.
هل يوجد حد أدنى للعبء الدراسي في الفصل الصيفي؟,"لا، لا يوجد حد أدنى."
متى يمكن للطالب دراسة 12 ساعة في الفصل الصيفي؟,إذا توقف تخرجه في الفصل الصيفي الثاني على ذلك أو تبقى عليه التدريب فقط.
كم الحد الأعلى للعبء الدراسي في الفصل الإجباري؟,19 ساعة معتمدة.
متى يمكن للطالب تسجيل 22 ساعة في الفصل الإجباري؟,إذا كان معدله التراكمي لا يقل عن 3.5 أو توقف تخرجه على ذلك.
ما الشروط المطلوبة لتسجيل أكثر من 19 ساعة في الفصل الإجباري؟,معدل تراكمي 3.5 أو تخرج الطالب يعتمد على ذلك.
هل يمكن للطالب أن يتغيب أكثر من 15% إذا كان لديه عذر مرضي؟,"نعم، إذا كان العذر مرضيًا وقبله عميد الكلية."
ما مسؤولية الطالب عند تسجيل المواد؟,يجب أن يسجل وفق خطته الدراسية وإجراءات التسجيل.
ماذا يحدث إذا غاب الطالب بسبب نشاطات رسمية داخل المملكة؟,يسمح له بالتغيب بنسبة لا تتجاوز 25%.
من يتحمل مسؤولية المواد المسجلة؟,الطالب نفسه.
ماذا يحدث إذا غاب الطالب بسبب نشاطات رسمية خارج المملكة؟,يسمح له بالتغيب بنسبة لا تتجاوز 30%.
ماذا يحدث إذا سجل الطالب مواد تتجاوز العبء الدراسي المسموح؟,يتم إلغاء تسجيل المواد الزائدة.
ماذا يحدث إذا غاب الطالب أكثر من 15% ولم يقدم عذرًا مقبولًا؟,يتم حرمانه من حضور المحاضرات والامتحانات ويعد راسبًا في المادة.
هل يمكن للطالب تسجيل أقل من الحد الأدنى للعبء الدراسي؟,"نعم، في حالات مبررة وبموافقة عميد الكلية."
من يقرر إذا كان الطالب سيعتبر منسحبًا من المادة بسبب الغياب؟,عميد الكلية هو من يقرر.
من المسؤول عن إلغاء المواد التي تتجاوز العبء الدراسي المسموح؟,مدير القبول والتسجيل.
ماذا يحدث إذا تم الانسحاب من مادة؟,يتم تسجيل ملاحظة (منسحب) في السجل الأكاديمي للطالب.
كيف يُصنف الطالب في مستوى السنة الثانية؟,إذا أتم بنجاح 33 ساعة معتمدة.
كيف يتم تنفيذ قرار الانسحاب إذا كان العذر مرضيًا؟,يتم تنفيذ الانسحاب مباشرة بعد موافقة عميد الكلية وقرار مجلس الكلية.
كيف يُصنف الطالب في مستوى السنة الثالثة؟,إذا أتم بنجاح 66 ساعة معتمدة.
ما هي الفترة التي يسمح فيها للطالب بالتغيب بسبب نشاطات رسمية داخل المملكة؟,يسمح له بالتغيب بنسبة 25%.
ما هي الفترة التي يسمح فيها للطالب بالتغيب بسبب نشاطات رسمية خارج المملكة؟,يسمح له بالتغيب بنسبة 30%.
كيف يُصنف الطالب في مستوى السنة الرابعة؟,إذا أتم بنجاح 99 ساعة معتمدة.
هل يمكن قبول تقرير طبي من طبيب خاص؟,"لا، يجب أن يكون التقرير الطبي صادرًا عن طبيب الجامعة أو معتمد منه."
هل يسمح للطالب بالتغيب أكثر من 15% إذا كان عذره قهريًا؟,"نعم، إذا كان العذر قهريًا وقبله عميد الكلية."
كيف يُصنف الطالب في مستوى السنة الخامسة؟,إذا أتم بنجاح 132 ساعة معتمدة.
ماذا يحدث إذا رفضت اللجنة الطبية تقرير الطالب؟,يتم رفض العذر ويطبق على الطالب أحكام الغياب المعتادة.
ما الشروط التي يجب أن يراعيها الطالب عند تسجيل المواد؟,الالتزام بالحدود الدنيا والعليا للعبء الدراسي والخطة الدراسية.
من يحدد ما إذا كان العذر مرضيًا أم لا؟,عميد الكلية هو المسؤول عن تحديد ما إذا كان العذر مرضيًا أو قهريًا.
ماذا يحدث إذا تدنى عبء الطالب عن الحد الأدنى؟,"يتم إلغاء تسجيله، إلا في حالات مبررة وبموافقة العميد."
كيف يتم إبلاغ الطالب بقرار انسحابه من المادة؟,يتم إبلاغه من خلال عميد الكلية التي تطرح المادة.
هل يمكن للطالب الذي يقل معدله التراكمي عن 3.5 تسجيل 22 ساعة؟,فقط إذا توقف تخرجه على ذلك.
هل يمكن للطالب أن يتغيب بسبب نشاطات لا تمثل الجامعة أو المملكة؟,"لا، يجب أن تكون النشاطات الرسمية لتمثيل الجامعة أو المملكة لتقبل الغياب."
ماذا يحدث إذا غاب الطالب عن الامتحانات النهائية ولم يقدم عذرًا مقبولًا؟,يعتبر راسبًا في المادة.
ماذا يجب على الطالب فعله إذا كان لديه عذر مرضي عند الغياب؟,يجب تقديم التقرير الطبي إلى عميد الكلية قبل الغياب أو حال زوال أسباب المرض.
"إذا غاب الطالب بسبب عذر قهري، ماذا يجب أن يقدم؟",يجب أن يقدم ما يثبت عذره لعميد الكلية بعد زوال الأسباب.
ما هو العذر الذي يقبله عميد الكلية؟,يقبل العذر المرضي أو القهري الذي يتم التحقق منه وفقًا للإجراءات المعتمدة.
هل يسمح للطلاب بالتغيب في الحالات القهرية؟,"نعم، إذا كان الغياب بسبب ظرف قهري يتم قبوله بشرط تقديم إثبات من الطالب."
"إذا كان الطالب غاب بسبب عذر مرضي، متى يجب عليه تقديم التقرير الطبي؟",يجب تقديمه قبل الغياب أو حال زوال أسباب المرض.
ماذا يحدث إذا غاب الطالب عن أكثر من 15% من الساعات المقررة لمادة دون عذر؟,"يُحرم من حضور المحاضرات والامتحانات، وتُعتبر علامته (هـ) في المادة."
من يوافق على قرار حرمان الطالب عند تجاوز نسبة الغياب؟,المدرس بتنسيب وموافقة عميد الكلية.
كيف يُبلغ الطالب بقرار الحرمان؟,عبر مدرس المادة ومن خلال نظام الإرشاد الأكاديمي.
متى تُعلن قوائم الحرمان؟,قبل أسبوع من الامتحانات النهائية كحد أقصى.
ماذا يُسجل للطالب في حالة الحرمان من المادة؟,تُسجل علامة (هـ) في المادة.
"إذا غاب الطالب بعذر مرضي مقبول، ماذا يحدث؟",يُعتبر منسحباً من المادة وتُسجل ملاحظة (منسحب) في سجله الأكاديمي.
من يقرر قبول الأعذار المرضية؟,عميد الكلية التي تطرح المادة.
ما الإجراء في حال الغياب بسبب عذر مرضي أو قهري؟,تُطبق أحكام الانسحاب إذا وافق العميد.
ما هي نسبة الغياب المسموحة للطلبة المشاركين في نشاطات رسمية داخل المملكة؟,حتى 25% من الساعات المقررة.
ما هي نسبة الغياب المسموحة للطلبة المشاركين في نشاطات رسمية خارج المملكة؟,حتى 30% من الساعات المقررة.
ما الإجراء إذا تجاوز الطالب نسبة الغياب المسموحة في النشاطات الرسمية؟,تُطبق عليه أحكام الانسحاب.
ما الشرط لقبول العذر المرضي؟,تقديم تقرير طبي من طبيب الجامعة أو معتمد منه.
متى يجب تقديم التقرير الطبي لعميد الكلية؟,قبل الغياب أو حال زوال أسباب المرض.
من يُقرر قبول أو رفض التقارير الطبية؟,اللجنة الطبية في الجامعة.
"إذا تغيب الطالب عن الامتحانات النهائية، ما المطلوب للعذر الطبي؟",تقرير طبي من طبيب الجامعة أو من قسم طوارئ مستشفى معتمد.
متى يبدأ احتساب فترة الغياب؟,من تسجيل الطالب للمادة.
من المسؤول عن تنفيذ أحكام المواظبة؟,عمداء الكليات وأعضاء هيئة التدريس والمحاضرون ومدير القبول والتسجيل.
ماذا يحدث إذا لم يقتنع مجلس الكلية بالتقارير الطبية؟,يتم رفضها ولا يُعتبر العذر مقبولاً.
ماذا يُثبت في السجل الأكاديمي إذا انسحب الطالب من المادة؟,ملاحظة (منسحب).
ماذا يحدث إذا تغيب الطالب عن أكثر من 15% لعذر قهري؟,يُعتبر منسحباً إذا وافق العميد على العذر.
هل يُسمح للطالب بالغياب أثناء النشاطات الرسمية دون عقوبة؟,"نعم، ضمن النسب المقررة (25% داخل المملكة و30% خارجها)."
ما الذي يُشترط في العذر القهري؟,تقديم دليل يُثبت العذر لعميد الكلية.
من يقرر تنفيذ الانسحاب للطلبة في حالات مرضية؟,وحدة القبول والتسجيل بناءً على موافقة مجلس الكلية.
هل يمكن للجنة الطبية رفض التقارير الطبية؟,"نعم، إذا لم تقتنع بها."
هل يُعتبر الغياب عن المحاضرات بعد التسجيل مباشرة؟,"نعم، تبدأ فترة الغياب من تسجيل المادة."
ما العقوبة إذا لم يقدم الطالب العذر الطبي في الوقت المناسب؟,يُعامل كغياب بدون عذر.
من يوافق على انسحاب الطالب في حالات القهرية؟,عميد الكلية بعد دراسة العذر.
ما دور طبيب الجامعة في حالات الغياب المرضي؟,إصدار التقارير الطبية واعتمادها.
كيف يُعامل الطالب الذي يتغيب دون عذر مبرر؟,يُحرم من المادة وتُسجل علامته (هـ).
هل تُطبق التعليمات على جميع المواد في الجامعة؟,"نعم، التعليمات عامة وتشمل جميع المواد."
هل يمكن للطالب استئناف قرار الحرمان بسبب الغياب؟,يُمكن مناقشة الأمر مع العميد أو تقديم عذر مقبول.
ما الإجراء إذا رفضت اللجنة الطبية تقريراً طبياً؟,يُعتبر الغياب بدون عذر مقبول.
هل تُقبل الأعذار القهرية تلقائياً؟,"لا، يجب أن يوافق العميد عليها."
كيف يتم إعلام الجهات المعنية بقرار انسحاب الطالب؟,يُبلغ عميد الكلية مدير القبول والتسجيل وعميد كلية الطالب.
ما هو الحد الأقصى لنسبة الغياب في النشاطات الرسمية داخل الجامعة؟,25% من الساعات المقررة.
هل يُسمح للطالب بتجاوز نسبة الغياب المسموح بها لأي سبب؟,فقط بعذر مرضي أو قهري مقبول.
ما الإجراء إذا كان لدى الطالب تدريب رسمي يمثل الجامعة؟,يُسمح له بالغياب ضمن النسب المحددة.
هل يُسمح للطالب بالتغيب عن الامتحانات النهائية بدون عذر؟,"لا، يجب تقديم عذر طبي أو قهري مقبول."
هل تُعتبر العلامة (هـ) رسوباً؟,"نعم، تُعتبر رسوباً في المادة."
شو بصير إذا غبت كتير عن المحاضرات؟,بيمنعوك من الامتحان وبتاخد صفر بالمادة.
شو يعني عذر مقبول؟,مرض أو ظرف طارئ وعميد الكلية بيوافق عليه.
"إذا كنت مريض، شو بدك تعمل؟",تقدم تقرير طبي لعميد الكلية.
"إذا كنت مسافر بتمثيل الجامعة، كم ممكن تغيب؟",25% داخل الأردن و 30% خارجها.
"إذا غبت عن امتحان النهائي، شو بدك تعمل؟",تقدم تقرير طبي من المستشفى.
مين بيقرر إذا كان عذرك مقبول؟,عميد الكلية.
وين بتسجل الغياب والحضور؟,بنظام الإرشاد الأكاديمي.
شو يعني انسحاب من مادة؟,يعني ترك المادة وعدم استكمالها.
"إذا انسحبت من مادة، شو بصير بعلامتك؟",بتاخد علامة (هـ) يعني راسب.
شو يعني عذر قهري؟,ظرف طارئ زي حادث أو وفاة.
كيف بتثبت عذر قهري؟,بقدم أوراق تثبت صحة العذر.
"إذا ما قدمت عذر، شو بصير؟",بيعتبر غيابك بدون عذر.
مين مسؤول عن تنفيذ قواعد الغياب؟,عميد الكلية والمدرسين ومدير القبول والتسجيل.
"إذا كنت طالب دولي، كيف بتتعامل مع الغياب؟",نفس القواعد بتطبق عليك.
شو يعني علامة (هـ)؟,يعني راسب بالمادة.
"إذا كنت مريض وبدك امتحان تعويضي، شو بتعمل؟",بتقدم طلب لعميد الكلية مع التقرير الطبي.
"إذا كنت مشارك بنشاط رسمي، شو المستندات المطلوبة؟",شهادة مشاركة تثبت مدة الغياب.
"إذا كان عندك مشكلة بالغياب، وين بتروح تحلها؟",بتروح على عميد الكلية أو المستشار الأكاديمي.
شو أهمية المواظبة على الحضور؟,عشان تفهم المادة كويس وتنجح.
ليش لازم نقدم تقرير طبي؟,عشان يثبت سبب الغياب.
مين بقرر قبول التقرير الطبي؟,اللجنة الطبية في الجامعة.
"إذا كنت متأكد إنك مريض بس ما عندك تقرير طبي، شو بتعمل؟",بتروح على طبيب الجامعة.
"إذا كان عندك ظرف طارئ ومنعتك من الحضور، شو بتعمل؟",بتبلغ الأستاذ فورا.
"إذا غبت عن أول المحاضرة، بيحسبوا عليك غياب؟","نعم، الغياب بيبدأ من أول يوم تسجيل بالمادة."
"إذا كنت مش فاهم شي بالقواعد، وين بسأل؟",بتسأل عميد الكلية أو المستشار الأكاديمي.
"شو يعني ""نسبة الغياب المسموحة""؟",هي النسبة القصوى اللي ممكن تغيبها بدون ما تتأثر علامتك.
"إذا كنت مريض لوقت طويل، شو الحل؟",بتطلب إجازة دراسية من عميد الكلية.
"إذا كنت مشارك بمسابقة خارج الجامعة، شو الإجراءات؟",بتبلغ عميد الكلية قبل السفر وبتقدم شهادة مشاركة بعد الرجوع.
"إذا كان عندي أي استفسار عن الغياب، وين بروح؟",بروح على وحدة القبول والتسجيل أو على مكتب العميد.
شو أهمية الالتزام بقواعد الغياب؟,عشان تضمن نجاحك وحتى لا تتأخر بالتخرج.
شو بصير إذا غاب الطالب عن أكثر من 15% من الساعات المقررة لمادة بدون عذر؟,"يُحرم من حضور المحاضرات والامتحانات، وتُعتبر علامته (هـ) في المادة."
مين بوافق على قرار حرمان الطالب عند تجاوز نسبة الغياب؟,المدرس بتنسيب وموافقة عميد الكلية.
كيف بُبلغ الطالب بقرار الحرمان؟,عبر مدرس المادة ومن خلال نظام الإرشاد الأكاديمي.
متى بتُعلن قوائم الحرمان؟,قبل أسبوع من الامتحانات النهائية كحد أقصى.
شو بُسجل للطالب في حالة الحرمان من المادة؟,بتُسجل علامة (هـ) في المادة.
"إذا غاب الطالب بعذر مرضي مقبول، شو بيصير؟",يُعتبر منسحب من المادة وبتُسجل ملاحظة (منسحب) في سجله الأكاديمي.
مين بقرر قبول الأعذار المرضية؟,عميد الكلية اللي بتطرح المادة.
شو الإجراء في حال الغياب بسبب عذر مرضي أو قهري؟,بتطبق أحكام الانسحاب إذا وافق العميد.
شو هي نسبة الغياب المسموحة للطلبة المشاركين في نشاطات رسمية داخل المملكة؟,حتى 25% من الساعات المقررة.
شو هي نسبة الغياب المسموحة للطلبة المشاركين في نشاطات رسمية خارج المملكة؟,حتى 30% من الساعات المقررة.
شو الإجراء إذا تجاوز الطالب نسبة الغياب المسموحة في النشاطات الرسمية؟,بتطبق عليه أحكام الانسحاب.
شو الشرط لقبول العذر المرضي؟,تقديم تقرير طبي من طبيب الجامعة أو معتمد منه.
متى لازم الطالب يقدم التقرير الطبي لعميد الكلية؟,قبل الغياب أو حال زوال أسباب المرض.
مين بقرر قبول أو رفض التقارير الطبية؟,اللجنة الطبية في الجامعة.
"إذا تغيب الطالب عن الامتحانات النهائية، شو المطلوب للعذر الطبي؟",تقرير طبي من طبيب الجامعة أو من قسم طوارئ مستشفى معتمد.
متى بيبدأ احتساب فترة الغياب؟,من تسجيل الطالب للمادة.
مين المسؤول عن تنفيذ أحكام المواظبة؟,عمداء الكليات وأعضاء هيئة التدريس والمحاضرون ومدير القبول والتسجيل.
شو بيصير إذا ما اقتنع مجلس الكلية بالتقارير الطبية؟,بيتم رفضها ولا يُعتبر العذر مقبول.
شو بُثبت في السجل الأكاديمي إذا انسحب الطالب من المادة؟,ملاحظة (منسحب).
شو بيصير إذا تغيب الطالب عن أكثر من 15% لعذر قهري؟,يُعتبر منسحب إذا وافق العميد على العذر.
هل مسموح للطالب بالغياب أثناء النشاطات الرسمية بدون عقوبة؟,"نعم، ضمن النسب المقررة (25% داخل المملكة و30% خارجها)."
شو بيشترط في العذر القهري؟,تقديم دليل يُثبت العذر لعميد الكلية.
مين بقرر تنفيذ الانسحاب للطلبة في حالات مرضية؟,وحدة القبول والتسجيل بناءً على موافقة مجلس الكلية.
هل ممكن للجنة الطبية ترفض التقارير الطبية؟,"نعم، إذا ما اقتنعت فيها."
هل بيُعتبر الغياب عن المحاضرات بعد التسجيل مباشرة؟,"نعم، بتبدأ فترة الغياب من تسجيل المادة."
شو العقوبة إذا ما قدم الطالب العذر الطبي في الوقت المناسب؟,يُعامل كغياب بدون عذر.
مين بوافق على انسحاب الطالب في الحالات القهرية؟,عميد الكلية بعد دراسة العذر.
شو دور طبيب الجامعة في حالات الغياب المرضي؟,إصدار التقارير الطبية واعتمادها.
كيف بيُعامل الطالب اللي بيتغيب بدون عذر مبرر؟,بيُحرم من المادة وتُسجل علامته (هـ).
هل بتطبق التعليمات على جميع المواد في الجامعة؟,"نعم، التعليمات عامة وتشمل جميع المواد."
هل في إمكانية للطالب استئناف قرار الحرمان بسبب الغياب؟,يمكن مناقشة الأمر مع العميد أو تقديم عذر مقبول.
شو الإجراء إذا رفضت اللجنة الطبية تقرير طبي؟,يُعتبر الغياب بدون عذر مقبول.
هل بتُقبل الأعذار القهرية تلقائيًا؟,"لا، لازم يوافق عليها العميد."
كيف بيتم إعلام الجهات المعنية بقرار انسحاب الطالب؟,بيُبلغ عميد الكلية مدير القبول والتسجيل وعميد كلية الطالب.
شو هو الحد الأقصى لنسبة الغياب في النشاطات الرسمية داخل الجامعة؟,25% من الساعات المقررة.
هل مسموح للطالب بتجاوز نسبة الغياب المسموحة لأي سبب؟,فقط بعذر مرضي أو قهري مقبول.
شو الإجراء إذا كان عند الطالب تدريب رسمي بيمثل الجامعة؟,مسموح له بالغياب ضمن النسب المحددة.
هل مسموح للطالب بالتغيب عن الامتحانات النهائية بدون عذر؟,"لا، لازم يقدم عذر طبي أو قهري مقبول."
هل بتعتبر العلامة (هـ) رسوب؟,"نعم، بتعتبر رسوب في المادة."
شو بصير إذا غاب الطالب عن أكثر من 15% من الساعات المقررة لمادة بدون عذر؟,"يُحرم من حضور المحاضرات والامتحانات، وتُعتبر علامته (هـ) في المادة."
مين بوافق على قرار حرمان الطالب عند تجاوز نسبة الغياب؟,المدرس بتنسيب وموافقة عميد الكلية.
كيف بُبلغ الطالب بقرار الحرمان؟,عبر مدرس المادة ومن خلال نظام الإرشاد الأكاديمي.
متى بتُعلن قوائم الحرمان؟,قبل أسبوع من الامتحانات النهائية كحد أقصى.
شو بُسجل للطالب في حالة الحرمان من المادة؟,بتُسجل علامة (هـ) في المادة.
"إذا غاب الطالب بعذر مرضي مقبول، شو بيصير؟",يُعتبر منسحب من المادة وبتُسجل ملاحظة (منسحب) في سجله الأكاديمي.
مين بقرر قبول الأعذار المرضية؟,عميد الكلية اللي بتطرح المادة.
شو الإجراء في حال الغياب بسبب عذر مرضي أو قهري؟,بتطبق أحكام الانسحاب إذا وافق العميد.
شو هي نسبة الغياب المسموحة للطلبة المشاركين في نشاطات رسمية داخل المملكة؟,حتى 25% من الساعات المقررة.
شو هي نسبة الغياب المسموحة للطلبة المشاركين في نشاطات رسمية خارج المملكة؟,حتى 30% من الساعات المقررة.
شو الإجراء إذا تجاوز الطالب نسبة الغياب المسموحة في النشاطات الرسمية؟,بتطبق عليه أحكام الانسحاب.
شو الشرط لقبول العذر المرضي؟,تقديم تقرير طبي من طبيب الجامعة أو معتمد منه.
متى لازم الطالب يقدم التقرير الطبي لعميد الكلية؟,قبل الغياب أو حال زوال أسباب المرض.
مين بقرر قبول أو رفض التقارير الطبية؟,اللجنة الطبية في الجامعة.
"إذا تغيب الطالب عن الامتحانات النهائية، شو المطلوب للعذر الطبي؟",تقرير طبي من طبيب الجامعة أو من قسم طوارئ مستشفى معتمد.
متى بيبدأ احتساب فترة الغياب؟,من تسجيل الطالب للمادة.
مين المسؤول عن تنفيذ أحكام المواظبة؟,عمداء الكليات وأعضاء هيئة التدريس والمحاضرون ومدير القبول والتسجيل.
شو بيصير إذا ما اقتنع مجلس الكلية بالتقارير الطبية؟,بيتم رفضها ولا يُعتبر العذر مقبول.
شو بُثبت في السجل الأكاديمي إذا انسحب الطالب من المادة؟,ملاحظة (منسحب).
شو بيصير إذا تغيب الطالب عن أكثر من 15% لعذر قهري؟,يُعتبر منسحب إذا وافق العميد على العذر.
هل مسموح للطالب بالغياب أثناء النشاطات الرسمية بدون عقوبة؟,"نعم، ضمن النسب المقررة (25% داخل المملكة و30% خارجها)."
شو بيشترط في العذر القهري؟,تقديم دليل يُثبت العذر لعميد الكلية.
مين بقرر تنفيذ الانسحاب للطلبة في حالات مرضية؟,وحدة القبول والتسجيل بناءً على موافقة مجلس الكلية.
هل ممكن للجنة الطبية ترفض التقارير الطبية؟,"نعم، إذا ما اقتنعت فيها."
هل بيُعتبر الغياب عن المحاضرات بعد التسجيل مباشرة؟,"نعم، بتبدأ فترة الغياب من تسجيل المادة."
شو العقوبة إذا ما قدم الطالب العذر الطبي في الوقت المناسب؟,يُعامل كغياب بدون عذر.
مين بوافق على انسحاب الطالب في الحالات القهرية؟,عميد الكلية بعد دراسة العذر.
شو دور طبيب الجامعة في حالات الغياب المرضي؟,إصدار التقارير الطبية واعتمادها.
كيف بيُعامل الطالب اللي بيتغيب بدون عذر مبرر؟,بيُحرم من المادة وتُسجل علامته (هـ).
هل بتطبق التعليمات على جميع المواد في الجامعة؟,"نعم، التعليمات عامة وتشمل جميع المواد."
هل في إمكانية للطالب استئناف قرار الحرمان بسبب الغياب؟,يمكن مناقشة الأمر مع العميد أو تقديم عذر مقبول.
شو الإجراء إذا رفضت اللجنة الطبية تقرير طبي؟,يُعتبر الغياب بدون عذر مقبول.
هل بتُقبل الأعذار القهرية تلقائيًا؟,"لا، لازم يوافق عليها العميد."
كيف بيتم إعلام الجهات المعنية بقرار انسحاب الطالب؟,بيُبلغ عميد الكلية مدير القبول والتسجيل وعميد كلية الطالب.
شو هو الحد الأقصى لنسبة الغياب في النشاطات الرسمية داخل الجامعة؟,25% من الساعات المقررة.
هل مسموح للطالب بتجاوز نسبة الغياب المسموحة لأي سبب؟,فقط بعذر مرضي أو قهري مقبول.
